Estimate,Std. Error,z value,Pr(z),paras,AIC,loglik,strain,exposure_hypothesis,rho,waning,boundaries
1,0.11570258855220579,8.642848984738084,5.482836892133219e-18,lambda_4,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
0.07486701752104488,0.005391466847011467,13.88620567379437,7.679714373755216e-44,sigma,-282.4699766108464,148.2349883054232,HKU1_S1,Ordered,rho_05,Laddered,Unbounded
9.830411259267763,6.106671720086063,1.6097821710201936,0.10744541877816036,rho_m,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
1,NA,NA,NA,b0,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
1,0.9604053829464433,1.041226983684831,0.29777021508989326,b1,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
7.9808061009842985,5.9358459803192956,1.3445103069461721,0.1787834257354701,b2,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
1,1.3614494672793287,0.7345112867085429,0.4626371838355319,lambda_3,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
0.21394152770860977,0.0151934476488296,14.081170558091888,4.95816582118412e-45,sigma,-15.823572030161777,13.911786015080889,a_229E_S1,Ordered,rho_05,Direct,Bounded
9.458499301519911,5.145954137848998,1.8380457827930725,0.06605565928853366,rho_m,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
0.1320329507271444,0.12656297533501074,1.0432193963333647,0.29684669214741904,b0,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
3.260203323463371,3.4524033213786995,0.9443286371771377,0.3450017363061344,b1,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
12.351459273906382,7.2088774356910665,1.7133679111749707,0.08664487584417996,b2,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
1,0.7051709621817313,1.418095828713786,0.15616278893764368,lambda_3,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
0.19588020947828316,0.01498213334144489,13.074253513444722,4.620777317617645e-39,sigma,-35.76705586465218,23.88352793232609,a_229E_S1,Ordered,rho_05,Direct,Unbounded
6.54002868580467,2.757867999284908,2.3714074377382985,0.017720484644991333,rho_m,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
1,NA,NA,NA,b0,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
1,NA,NA,NA,b1,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
3.723865557710062,4.150437129054461,0.8972224953467544,0.3696002038202142,b2,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
1,0.96437668831899,1.0369392086230382,0.2997641894896812,lambda_3,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
0.21002115747099823,0.009563464450127675,21.960781949494713,6.831338278722463e-107,sigma,-20.003540417711825,16.001770208855913,a_229E_S1,Ordered,rho_05,Laddered,Bounded
