time,Prop,Type,Group,strain_type,exposure,choose_rho,waning
2,0.15546074813806818,P,5,a_229E_S1,Ordered,rho_05,Laddered
3,0.23602793176577538,P,1,a_229E_S1,Ordered,rho_05,Laddered
3,0.21685702285333242,P,2,a_229E_S1,Ordered,rho_05,Laddered
3,0.1985561108592657,P,3,a_229E_S1,Ordered,rho_05,Laddered
3,0.18172266779800803,P,4,a_229E_S1,Ordered,rho_05,Laddered
3,0.16683625950127823,P,5,a_229E_S1,Ordered,rho_05,Laddered
4,0.23363950218280646,P,1,a_229E_S1,Ordered,rho_05,Laddered
4,0.21553225353572278,P,2,a_229E_S1,Ordered,rho_05,Laddered
4,0.19870102175793117,P,3,a_229E_S1,Ordered,rho_05,Laddered
4,0.1831720077859568,P,4,a_229E_S1,Ordered,rho_05,Laddered
4,0.16895521472734784,P,5,a_229E_S1,Ordered,rho_05,Laddered
5,0.2331950210475094,P,1,a_229E_S1,Ordered,rho_05,Laddered
5,0.21528564119439592,P,2,a_229E_S1,Ordered,rho_05,Laddered
5,0.1987280478022162,P,3,a_229E_S1,Ordered,rho_05,Laddered
5,0.18344169024324006,P,4,a_229E_S1,Ordered,rho_05,Laddered
5,0.1693495997126319,P,5,a_229E_S1,Ordered,rho_05,Laddered
10,0.23309342183127,P,1,a_229E_S1,Ordered,rho_05,Laddered
10,0.2152292755609274,P,2,a_229E_S1,Ordered,rho_05,Laddered
10,0.1987342204904343,P,3,a_229E_S1,Ordered,rho_05,Laddered
10,0.18350333688110668,P,4,a_229E_S1,Ordered,rho_05,Laddered
10,0.16943974523626182,P,5,a_229E_S1,Ordered,rho_05,Laddered
15,0.23309339291454317,P,1,a_229E_S1,Ordered,rho_05,Laddered
15,0.21522925951805347,P,2,a_229E_S1,Ordered,rho_05,Laddered
15,0.1987342222476105,P,3,a_229E_S1,Ordered,rho_05,Laddered
15,0.1835033544265146,P,4,a_229E_S1,Ordered,rho_05,Laddered
15,0.16943977089327822,P,5,a_229E_S1,Ordered,rho_05,Laddered
20,0.23309339290051814,P,1,a_229E_S1,Ordered,rho_05,Laddered
20,0.2152292595102724,P,2,a_229E_S1,Ordered,rho_05,Laddered
20,0.19873422224846277,P,3,a_229E_S1,Ordered,rho_05,Laddered
20,0.18350335443502436,P,4,a_229E_S1,Ordered,rho_05,Laddered
20,0.16943977090572226,P,5,a_229E_S1,Ordered,rho_05,Laddered
25,0.23309339290051148,P,1,a_229E_S1,Ordered,rho_05,Laddered
25,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
25,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
25,0.1835033544350284,P,4,a_229E_S1,Ordered,rho_05,Laddered
25,0.16943977090572823,P,5,a_229E_S1,Ordered,rho_05,Laddered
30,0.23309339290051148,P,1,a_229E_S1,Ordered,rho_05,Laddered
30,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
30,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
30,0.1835033544350284,P,4,a_229E_S1,Ordered,rho_05,Laddered
30,0.16943977090572823,P,5,a_229E_S1,Ordered,rho_05,Laddered
35,0.23309339290051148,P,1,a_229E_S1,Ordered,rho_05,Laddered
35,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
35,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
35,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
35,0.16943977090572826,P,5,a_229E_S1,Ordered,rho_05,Laddered
40,0.23309339290051143,P,1,a_229E_S1,Ordered,rho_05,Laddered
40,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
40,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
40,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
40,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
45,0.23309339290051143,P,1,a_229E_S1,Ordered,rho_05,Laddered
45,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
45,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
45,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
45,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
50,0.23309339290051143,P,1,a_229E_S1,Ordered,rho_05,Laddered
50,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
50,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
50,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
50,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
55,0.23309339290051143,P,1,a_229E_S1,Ordered,rho_05,Laddered
55,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
55,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
55,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
55,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
60,0.21522925951026872,P,2,a_229E_S1,Ordered,rho_05,Laddered
60,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
60,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
60,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
65,0.19873422224846318,P,3,a_229E_S1,Ordered,rho_05,Laddered
65,0.18350335443502847,P,4,a_229E_S1,Ordered,rho_05,Laddered
65,0.1694397709057283,P,5,a_229E_S1,Ordered,rho_05,Laddered
0,0.11764705882352941,M,2,NL63_S1,Ordered,rho_05,Direct
0,0.20588235294117652,M,3,NL63_S1,Ordered,rho_05,Direct
0,0.3529411764705883,M,4,NL63_S1,Ordered,rho_05,Direct
0,0.10294117647058826,M,5,NL63_S1,Ordered,rho_05,Direct
0,0.22058823529411767,P,1,NL63_S1,Ordered,rho_05,Direct
0.125,0.032445495859673316,M,2,NL63_S1,Ordered,rho_05,Direct
0.125,0.05677961775442832,M,3,NL63_S1,Ordered,rho_05,Direct
0.125,0.09733648757901993,M,4,NL63_S1,Ordered,rho_05,Direct
0.125,0.3670693522550822,P,1,NL63_S1,Ordered,rho_05,Direct
0.25,0.008948014989112251,M,2,NL63_S1,Ordered,rho_05,Direct
0.25,0.015659026230946442,M,3,NL63_S1,Ordered,rho_05,Direct
0.25,0.3088777942748319,P,1,NL63_S1,Ordered,rho_05,Direct
0.375,0.2810644399808891,P,1,NL63_S1,Ordered,rho_05,Direct
0.375,0.16315502578279695,P,3,NL63_S1,Ordered,rho_05,Direct
0.375,0.29165967168010815,P,4,NL63_S1,Ordered,rho_05,Direct
0.5,0.27199030169399224,P,1,NL63_S1,Ordered,rho_05,Direct
0.5,0.20228172771749361,P,2,NL63_S1,Ordered,rho_05,Direct
0.5,0.1518432723250008,P,3,NL63_S1,Ordered,rho_05,Direct
0.5,0.32046829997975884,P,4,NL63_S1,Ordered,rho_05,Direct
0.5,0.04890766274190973,P,5,NL63_S1,Ordered,rho_05,Direct
0.625,0.26932015178222474,P,1,NL63_S1,Ordered,rho_05,Direct
0.625,0.19811107050493298,P,2,NL63_S1,Ordered,rho_05,Direct
0.625,0.32594412807561385,P,4,NL63_S1,Ordered,rho_05,Direct
0.625,0.058921129004523516,P,5,NL63_S1,Ordered,rho_05,Direct
0.75,0.26856377753749827,P,1,NL63_S1,Ordered,rho_05,Direct
0.75,0.19682421140778683,P,2,NL63_S1,Ordered,rho_05,Direct
0.75,0.14451694160987033,P,3,NL63_S1,Ordered,rho_05,Direct
0.75,0.32505401351853963,P,4,NL63_S1,Ordered,rho_05,Direct
0.75,0.06469819311491239,P,5,NL63_S1,Ordered,rho_05,Direct
0.875,0.26835296460319435,P,1,NL63_S1,Ordered,rho_05,Direct
0.875,0.19644956915001816,P,2,NL63_S1,Ordered,rho_05,Direct
0.875,0.1438982022245527,P,3,NL63_S1,Ordered,rho_05,Direct
0.875,0.32338684152913394,P,4,NL63_S1,Ordered,rho_05,Direct
0.875,0.06781770814848508,P,5,NL63_S1,Ordered,rho_05,Direct
1,0.26829436500306003,P,1,NL63_S1,Ordered,rho_05,Direct
1,0.19634325706733263,P,2,NL63_S1,Ordered,rho_05,Direct
1,0.14371371158851043,P,3,NL63_S1,Ordered,rho_05,Direct
1,0.32218040747698495,P,4,NL63_S1,Ordered,rho_05,Direct
1,0.06944221095089481,P,5,NL63_S1,Ordered,rho_05,Direct
2,0.2682720746856206,P,1,NL63_S1,Ordered,rho_05,Direct
2,0.19630217273426906,P,2,NL63_S1,Ordered,rho_05,Direct
2,0.14363975465379458,P,3,NL63_S1,Ordered,rho_05,Direct
2,0.32068166704560563,P,4,NL63_S1,Ordered,rho_05,Direct
2,0.07110433043655544,P,5,NL63_S1,Ordered,rho_05,Direct
3,0.2682720744382473,P,1,NL63_S1,Ordered,rho_05,Direct
3,0.19630216859820704,P,2,NL63_S1,Ordered,rho_05,Direct
3,0.1436397780359317,P,3,NL63_S1,Ordered,rho_05,Direct
3,0.32067523882701543,P,4,NL63_S1,Ordered,rho_05,Direct
3,0.07111074010485971,P,5,NL63_S1,Ordered,rho_05,Direct
4,0.2682720744360958,P,1,NL63_S1,Ordered,rho_05,Direct
4,0.1963021685138626,P,2,NL63_S1,Ordered,rho_05,Direct
4,0.14363977855032153,P,3,NL63_S1,Ordered,rho_05,Direct
4,0.3206752186283045,P,4,NL63_S1,Ordered,rho_05,Direct
4,0.07111075987142124,P,5,NL63_S1,Ordered,rho_05,Direct
5,0.2682720744360902,P,1,NL63_S1,Ordered,rho_05,Direct
5,0.19630216851384708,P,2,NL63_S1,Ordered,rho_05,Direct
5,0.14363977855033438,P,3,NL63_S1,Ordered,rho_05,Direct
5,0.3206752183410312,P,4,NL63_S1,Ordered,rho_05,Direct
5,0.07111076015869697,P,5,NL63_S1,Ordered,rho_05,Direct
10,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
10,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
10,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
10,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
10,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
15,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
15,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
15,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
15,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
15,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
20,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
20,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
20,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
20,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
25,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
25,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
25,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
25,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
25,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
30,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
30,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
30,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
30,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
30,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
35,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
35,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
35,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
35,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
35,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
40,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
40,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
40,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
40,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
40,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
45,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
45,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
45,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
45,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
45,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
50,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
50,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
50,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
50,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
55,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
55,0.1963021685138471,P,2,NL63_S1,Ordered,rho_05,Direct
55,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
55,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
55,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
60,0.26827207443609025,P,1,NL63_S1,Ordered,rho_05,Direct
60,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
60,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
60,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
65,0.14363977855033436,P,3,NL63_S1,Ordered,rho_05,Direct
65,0.3206752183367883,P,4,NL63_S1,Ordered,rho_05,Direct
65,0.07111076016293992,P,5,NL63_S1,Ordered,rho_05,Direct
0,0.11764705882352941,M,2,NL63_S1,Ordered,rho_05,Laddered
0,0.20588235294117652,M,3,NL63_S1,Ordered,rho_05,Laddered
0,0.3529411764705883,M,4,NL63_S1,Ordered,rho_05,Laddered
0,0.10294117647058826,M,5,NL63_S1,Ordered,rho_05,Laddered
0,0.22058823529411767,P,1,NL63_S1,Ordered,rho_05,Laddered
0.125,0.050591669949060135,M,2,NL63_S1,Ordered,rho_05,Laddered
0.125,0.08853542241085528,M,3,NL63_S1,Ordered,rho_05,Laddered
0.125,0.1517750098471805,M,4,NL63_S1,Ordered,rho_05,Laddered
0.125,0.4614130825019078,P,1,NL63_S1,Ordered,rho_05,Laddered
0.25,0.021755872887315182,M,2,NL63_S1,Ordered,rho_05,Laddered
0.25,0.03807277755280159,M,3,NL63_S1,Ordered,rho_05,Laddered
0.25,0.46122484500519106,P,1,NL63_S1,Ordered,rho_05,Laddered
0.375,0.4081980891003174,P,1,NL63_S1,Ordered,rho_05,Laddered
0.375,0.15358545599311538,P,3,NL63_S1,Ordered,rho_05,Laddered
0.375,0.07884316006867716,P,4,NL63_S1,Ordered,rho_05,Laddered
0.5,0.35323281394863354,P,1,NL63_S1,Ordered,rho_05,Laddered
0.5,0.2816924349238633,P,2,NL63_S1,Ordered,rho_05,Laddered
0.5,0.1864068840864465,P,3,NL63_S1,Ordered,rho_05,Laddered
0.5,0.11961200828179648,P,4,NL63_S1,Ordered,rho_05,Laddered
0.5,0.03240195077099582,P,5,NL63_S1,Ordered,rho_05,Laddered
0.625,0.3080785444546343,P,1,NL63_S1,Ordered,rho_05,Laddered
0.625,0.27105896566865134,P,2,NL63_S1,Ordered,rho_05,Laddered
0.625,0.15404403398111524,P,4,NL63_S1,Ordered,rho_05,Laddered
0.625,0.04987624513523478,P,5,NL63_S1,Ordered,rho_05,Laddered
0.75,0.2734826764408358,P,1,NL63_S1,Ordered,rho_05,Laddered
0.75,0.2576908207006895,P,2,NL63_S1,Ordered,rho_05,Laddered
0.75,0.21605194302619163,P,3,NL63_S1,Ordered,rho_05,Laddered
0.75,0.18118827402332477,P,4,NL63_S1,Ordered,rho_05,Laddered
0.75,0.06665724791275185,P,5,NL63_S1,Ordered,rho_05,Laddered
0.875,0.24757495772476465,P,1,NL63_S1,Ordered,rho_05,Laddered
0.875,0.2451170999088894,P,2,NL63_S1,Ordered,rho_05,Laddered
0.875,0.2217759671532602,P,3,NL63_S1,Ordered,rho_05,Laddered
0.875,0.20192726100745165,P,4,NL63_S1,Ordered,rho_05,Laddered
0.875,0.08148509979170714,P,5,NL63_S1,Ordered,rho_05,Laddered
1,0.22827694503190513,P,1,NL63_S1,Ordered,rho_05,Laddered
1,0.2344733330782184,P,2,NL63_S1,Ordered,rho_05,Laddered
1,0.2248501423645354,P,3,NL63_S1,Ordered,rho_05,Laddered
1,0.21757124318634657,P,4,NL63_S1,Ordered,rho_05,Laddered
1,0.0939169221468838,P,5,NL63_S1,Ordered,rho_05,Laddered
2,0.17618732756735314,P,1,NL63_S1,Ordered,rho_05,Laddered
2,0.20142423919293026,P,2,NL63_S1,Ordered,rho_05,Laddered
2,0.22865352639425154,P,3,NL63_S1,Ordered,rho_05,Laddered
2,0.26033295097565934,P,4,NL63_S1,Ordered,rho_05,Laddered
2,0.1334008873827222,P,5,NL63_S1,Ordered,rho_05,Laddered
3,0.17057436864405723,P,1,NL63_S1,Ordered,rho_05,Laddered
3,0.1976232756273291,P,2,NL63_S1,Ordered,rho_05,Laddered
3,0.2287867093306496,P,3,NL63_S1,Ordered,rho_05,Laddered
3,0.2649608267596032,P,4,NL63_S1,Ordered,rho_05,Laddered
3,0.13805481827284435,P,5,NL63_S1,Ordered,rho_05,Laddered
4,0.16995440073547965,P,1,NL63_S1,Ordered,rho_05,Laddered
4,0.19720211515071473,P,2,NL63_S1,Ordered,rho_05,Laddered
4,0.22880114912436458,P,3,NL63_S1,Ordered,rho_05,Laddered
4,0.26547181667446285,P,4,NL63_S1,Ordered,rho_05,Laddered
4,0.13857051831389502,P,5,NL63_S1,Ordered,rho_05,Laddered
5,0.16988523344522485,P,1,NL63_S1,Ordered,rho_05,Laddered
5,0.1971558796070982,P,2,NL63_S1,Ordered,rho_05,Laddered
5,0.22880207222921473,P,3,NL63_S1,Ordered,rho_05,Laddered
5,0.2655290231878473,P,4,NL63_S1,Ordered,rho_05,Laddered
5,0.13862779153060908,P,5,NL63_S1,Ordered,rho_05,Laddered
10,0.16987679398210215,P,1,NL63_S1,Ordered,rho_05,Laddered
10,0.1971501748083611,P,2,NL63_S1,Ordered,rho_05,Laddered
10,0.22880224250549702,P,3,NL63_S1,Ordered,rho_05,Laddered
10,0.26553598664433614,P,4,NL63_S1,Ordered,rho_05,Laddered
10,0.13863480205970358,P,5,NL63_S1,Ordered,rho_05,Laddered
15,0.1698767936469171,P,1,NL63_S1,Ordered,rho_05,Laddered
15,0.1971501745810196,P,2,NL63_S1,Ordered,rho_05,Laddered
15,0.22880224251295803,P,3,NL63_S1,Ordered,rho_05,Laddered
15,0.26553598692069846,P,4,NL63_S1,Ordered,rho_05,Laddered
15,0.13863480233840686,P,5,NL63_S1,Ordered,rho_05,Laddered
20,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
20,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
20,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
20,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
25,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
25,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
25,0.22880224251295847,P,3,NL63_S1,Ordered,rho_05,Laddered
25,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
25,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
30,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
30,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
30,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
30,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
30,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
35,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
35,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
35,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
35,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
35,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
40,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
40,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
40,0.22880224251295847,P,3,NL63_S1,Ordered,rho_05,Laddered
40,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
40,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
45,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
45,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
45,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
45,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
45,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
50,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
50,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
50,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
50,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
55,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
55,0.19715017458100595,P,2,NL63_S1,Ordered,rho_05,Laddered
55,0.22880224251295847,P,3,NL63_S1,Ordered,rho_05,Laddered
55,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
55,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
60,0.16987679364689695,P,1,NL63_S1,Ordered,rho_05,Laddered
60,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
60,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
60,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
65,0.2288022425129585,P,3,NL63_S1,Ordered,rho_05,Laddered
65,0.26553598692071495,P,4,NL63_S1,Ordered,rho_05,Laddered
65,0.1386348023384236,P,5,NL63_S1,Ordered,rho_05,Laddered
0,0.10294117647058824,M,2,OC43_HE,Ordered,rho_05,Direct
0,0.27941176470588236,M,3,OC43_HE,Ordered,rho_05,Direct
0,0.25,M,4,OC43_HE,Ordered,rho_05,Direct
0,0.125,M,5,OC43_HE,Ordered,rho_05,Direct
0,0.2426470588235294,P,1,OC43_HE,Ordered,rho_05,Direct
0.125,0.026206495014011826,M,2,OC43_HE,Ordered,rho_05,Direct
0.125,0.07113191503803207,M,3,OC43_HE,Ordered,rho_05,Direct
0.125,0.06364434503402869,M,4,OC43_HE,Ordered,rho_05,Direct
0.125,0.031822172517014344,M,5,OC43_HE,Ordered,rho_05,Direct
0.125,0.3790576216841048,P,1,OC43_HE,Ordered,rho_05,Direct
0.25,0.006671577874609856,M,2,OC43_HE,Ordered,rho_05,Direct
0.25,0.018108568516798176,M,3,OC43_HE,Ordered,rho_05,Direct
0.25,0.314214924059804,P,1,OC43_HE,Ordered,rho_05,Direct
0.375,0.0016984099367146801,M,2,OC43_HE,Ordered,rho_05,Direct
0.375,0.004124709846307078,M,4,OC43_HE,Ordered,rho_05,Direct
0.375,0.28536445864088217,P,1,OC43_HE,Ordered,rho_05,Direct
0.5,4.3235304296049406e-4,M,2,OC43_HE,Ordered,rho_05,Direct
0.5,0.001173529688035626,M,3,OC43_HE,Ordered,rho_05,Direct
0.5,0.00105000024718977,M,4,OC43_HE,Ordered,rho_05,Direct
0.5,5.25000123594885e-4,M,5,OC43_HE,Ordered,rho_05,Direct
0.5,0.2764895469218851,P,1,OC43_HE,Ordered,rho_05,Direct
0.625,1.1005345431386874e-4,M,2,OC43_HE,Ordered,rho_05,Direct
0.625,2.9871651885192917e-4,M,3,OC43_HE,Ordered,rho_05,Direct
0.625,2.6727267476225235e-4,M,4,OC43_HE,Ordered,rho_05,Direct
0.625,1.3363633738112618e-4,M,5,OC43_HE,Ordered,rho_05,Direct
0.625,0.27404051659836554,P,1,OC43_HE,Ordered,rho_05,Direct
0.75,7.603880482860519e-5,M,3,OC43_HE,Ordered,rho_05,Direct
0.75,0.27339365910590024,P,1,OC43_HE,Ordered,rho_05,Direct
0.875,0.2732261262961174,P,1,OC43_HE,Ordered,rho_05,Direct
0.875,0.19866493013557193,P,2,OC43_HE,Ordered,rho_05,Direct
0.875,0.14453566533014386,P,3,OC43_HE,Ordered,rho_05,Direct
1,0.27318313169654646,P,1,OC43_HE,Ordered,rho_05,Direct
1,0.19857795367070943,P,2,OC43_HE,Ordered,rho_05,Direct
1,0.14437121424140656,P,3,OC43_HE,Ordered,rho_05,Direct
1,0.21575472242387583,P,4,OC43_HE,Ordered,rho_05,Direct
1,0.1680995774043838,P,5,OC43_HE,Ordered,rho_05,Direct
2,0.27316833378397953,P,1,OC43_HE,Ordered,rho_05,Direct
2,0.1985473959189955,P,2,OC43_HE,Ordered,rho_05,Direct
2,0.1443105344969848,P,3,OC43_HE,Ordered,rho_05,Direct
2,0.2148674295540141,P,4,OC43_HE,Ordered,rho_05,Direct
2,0.16910630588538483,P,5,OC43_HE,Ordered,rho_05,Direct
3,0.2731683333934174,P,1,OC43_HE,Ordered,rho_05,Direct
3,0.19854739502488628,P,2,OC43_HE,Ordered,rho_05,Direct
3,0.14431053402474903,P,3,OC43_HE,Ordered,rho_05,Direct
3,0.21486706850866866,P,4,OC43_HE,Ordered,rho_05,Direct
3,0.16910666904858315,P,5,OC43_HE,Ordered,rho_05,Direct
4,0.273168333392926,P,1,OC43_HE,Ordered,rho_05,Direct
4,0.19854739502425778,P,2,OC43_HE,Ordered,rho_05,Direct
4,0.14431053402597496,P,3,OC43_HE,Ordered,rho_05,Direct
4,0.21486706872144304,P,4,OC43_HE,Ordered,rho_05,Direct
4,0.1691066688353985,P,5,OC43_HE,Ordered,rho_05,Direct
5,0.27316833339292557,P,1,OC43_HE,Ordered,rho_05,Direct
5,0.19854739502425706,P,2,OC43_HE,Ordered,rho_05,Direct
5,0.1443105340259739,P,3,OC43_HE,Ordered,rho_05,Direct
5,0.21486706872221195,P,4,OC43_HE,Ordered,rho_05,Direct
5,0.16910666883463155,P,5,OC43_HE,Ordered,rho_05,Direct
10,0.2731683333929255,P,1,OC43_HE,Ordered,rho_05,Direct
10,0.198547395024257,P,2,OC43_HE,Ordered,rho_05,Direct
10,0.14431053402597388,P,3,OC43_HE,Ordered,rho_05,Direct
10,0.2148670687222147,P,4,OC43_HE,Ordered,rho_05,Direct
10,0.16910666883462877,P,5,OC43_HE,Ordered,rho_05,Direct
15,0.2731683333929255,P,1,OC43_HE,Ordered,rho_05,Direct
15,0.198547395024257,P,2,OC43_HE,Ordered,rho_05,Direct
15,0.14431053402597388,P,3,OC43_HE,Ordered,rho_05,Direct
15,0.2148670687222147,P,4,OC43_HE,Ordered,rho_05,Direct
15,0.16910666883462877,P,5,OC43_HE,Ordered,rho_05,Direct
20,0.2731683333929255,P,1,OC43_HE,Ordered,rho_05,Direct
20,0.198547395024257,P,2,OC43_HE,Ordered,rho_05,Direct
20,0.14431053402597388,P,3,OC43_HE,Ordered,rho_05,Direct
20,0.2148670687222147,P,4,OC43_HE,Ordered,rho_05,Direct
20,0.16910666883462877,P,5,OC43_HE,Ordered,rho_05,Direct
25,0.2731683333929255,P,1,OC43_HE,Ordered,rho_05,Direct
25,0.198547395024257,P,2,OC43_HE,Ordered,rho_05,Direct
25,0.14431053402597388,P,3,OC43_HE,Ordered,rho_05,Direct
25,0.2148670687222147,P,4,OC43_HE,Ordered,rho_05,Direct
